state,Latitude,Longitude,01-May-20,02-May-20,03-May-20,04-May-20,05-May-20,06-May-20,07-May-20,08-May-20,09-May-20,10-May-20,11-May-20,12-May-20,13-May-20,14-May-20,15-May-20,16-May-20,17-May-20,18-May-20,19-May-20,20-May-20,21-May-20,22-May-20,23-May-20,24-May-20,25-May-20,26-May-20,27-May-20,28-May-20,29-May-20,30-May-20,31-May-20,01-Jun-20,02-Jun-20,03-Jun-20,04-Jun-20,05-Jun-20,06-Jun-20,07-Jun-20,08-Jun-20,09-Jun-20,10-Jun-20,11-Jun-20,12-Jun-20,13-Jun-20,14-Jun-20,15-Jun-20,16-Jun-20,17-Jun-20,18-Jun-20,19-Jun-20,20-Jun-20,21-Jun-20,22-Jun-20,23-Jun-20,24-Jun-20,25-Jun-20,26-Jun-20,27-Jun-20,28-Jun-20,29-Jun-20,30-Jun-20,01-Jul-20,02-Jul-20,03-Jul-20,04-Jul-20,05-Jul-20,06-Jul-20,07-Jul-20,08-Jul-20,09-Jul-20,10-Jul-20,11-Jul-20,12-Jul-20,13-Jul-20,14-Jul-20,15-Jul-20,16-Jul-20,17-Jul-20,18-Jul-20,19-Jul-20,20-Jul-20,21-Jul-20
Andaman and Nicobar Islands,11.667,92.736,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,38,38,38,38,41,44,44,45,47,47,48,48,50,56,59,72,73,83,90,97,100,109,116,119,125,141,147,149,151,166,171,176,180,194,198,198,207
Arunachal Pradesh,27.1004,93.6166,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,22,28,38,43,46,49,51,57,61,67,87,88,95,99,103,103,103,135,135,139,148,158,160,172,174,177,182,187,191,195,232,252,259,269,270,276,287,302,335,341,359,387,462,491,491,491,491,543,543,609,790
Andhra Pradesh,15.9129,79.74,1403,1463,1525,1583,1650,1717,1777,1847,1887,1930,1980,2018,2090,2137,2205,2307,2355,2407,2474,2532,2602,2647,2709,2757,2823,3110,3171,3171,3251,3436,3569,3679,3783,3898,4080,4223,4303,4510,4708,4851,5070,5269,5429,5680,5965,6163,6456,6841,7071,7518,7961,8452,8999,9372,10002,10331,11489,12285,13241,13891,13891,13891,15252,16097,16097,22259,23814,20019,21197,22259,23814,25422,27235,29168,31103,33019,35451,35451,35451,44609,49650,53724
Assam,26.75,94.2167,37,37,42,42,43,43,43,43,59,62,64,64,64,86,87,91,97,106,141,170,203,259,329,378,526,616,616,616,1024,1185,1272,1513,1672,1988,2397,2565,2565,2565,2565,2937,2937,3319,3498,3498,2937,3319,3498,4158,4319,4605,4861,4904,5006,5586,5853,6282,6646,6646,6919,7165,7492,7835,8547,8955,9434,9799,11001,11736,12522,14032,14600,15536,16071,29168,31103,33019,35451,20646,20646,20646,20646,25382
Bihar,25.7854,87.48,418,471,481,503,528,536,542,550,571,591,696,747,831,940,994,1018,1179,1262,1391,1498,1674,1982,2177,2380,2587,2730,2983,3061,3296,3376,3636,3815,3926,4155,4390,4493,4596,4915,5088,5202,5459,5710,5983,6103,6290,6470,6650,6778,6942,7025,7181,7533,7612,7825,8153,8209,8209,8716,8931,9212,9640,9640,10249,10471,10471,11700,11700,12125,12570,13189,13944,14575,15373,16642,17959,19284,20612,20612,20612,25136,26569,27646
Chandigarh,30.72,76.78,56,88,88,94,102,111,120,135,150,169,169,174,187,187,191,191,191,191,196,200,202,217,218,225,238,238,266,279,288,289,289,293,294,301,301,301,304,309,314,317,323,327,332,334,345,352,354,358,368,374,381,404,406,411,418,420,420,425,428,429,435,435,446,450,450,460,460,489,494,513,523,539,555,559,588,600,625,625,625,700,717,737
Chhattisgarh,22.0904,82.16,40,43,43,57,58,59,59,59,59,59,59,59,59,59,60,66,67,86,93,101,115,128,172,214,252,291,361,369,399,415,447,498,547,564,668,756,879,923,1073,1160,1240,1262,1398,1429,1512,1662,1756,1781,1864,1946,2028,2041,2275,2303,2362,2419,2419,2545,2545,2662,2761,2761,2940,3013,3013,3161,3161,3305,3415,3525,3675,3767,3897,4059,4217,4379,4539,4539,4539,5233,5407,5561
Dadra and Nagar Haveli and Daman and Diu,20.2666,73.0166,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,4,8,12,14,19,20,22,22,28,30,30,35,36,36,45,57,58,62,68,88,91,120,120,120,163,177,178,203,203,215,230,230,271,271,297,405,408,411,459,471,479,495,520,539,539,602,605,684,684
Goa,15.492,73.818,7,7,7,7,7,7,7,7,7,7,7,7,7,7,14,15,17,29,38,46,50,52,54,55,66,67,67,68,69,69,70,70,71,79,79,166,196,267,300,330,359,387,417,463,523,564,592,629,656,705,725,754,754,864,909,951,951,1039,1128,1198,1198,1198,1387,1482,1482,1684,1813,1903,2039,2151,2251,2368,2453,2583,2753,2951,2951,2951,2951,3484,3657,3853
Gujarat,22.2587,71.1924,4395,4721,5054,5428,5804,6245,6625,7012,7402,7796,8194,8541,8903,9267,9591,9931,10988,11379,11745,12140,12537,12905,13268,13664,14056,14460,14821,15195,15562,15934,16343,16779,17200,17617,18100,18584,19094,19592,20070,20545,21014,21521,22032,22527,23038,23544,24055,24577,25093,25601,26141,26680,27260,27825,28371,28943,28943,30095,30709,31320,31938,31938,33232,33913,33913,35312,35312,36772,37550,38333,39194,40069,40941,41820,42722,43637,44552,44552,44552,47390,48355,49353
