state,last_update,Latitude,Longitude,confirmed,death,recovery,active
Andaman and Nicobar Islands,"21-07-2020,08:00IST(GMT+5:30)",11.667,92.736,207,1,152,55
Arunachal Pradesh,"21-07-2020,08:00IST(GMT+5:30)",27.1004,93.6166,790,3,285,502
Andhra Pradesh,"21-07-2020,08:00IST(GMT+5:30)",15.9129,79.74,53724,696,24228,28800
Assam,"21-07-2020,08:00IST(GMT+5:30)",26.75,94.2167,25382,58,17095,8229
Bihar,"21-07-2020,08:00IST(GMT+5:30)",25.7854,87.48,27646,217,17433,9996
Chandigarh,"21-07-2020,08:00IST(GMT+5:30)",30.72,76.78,737,12,518,207
Chhattisgarh,"21-07-2020,08:00IST(GMT+5:30)",22.0904,82.16,5561,25,3944,1592
Dadra and Nagar Haveli and Daman and Diu,"21-07-2020,08:00IST(GMT+5:30)",20.2666,73.0166,684,2,448,234
Goa,"21-07-2020,08:00IST(GMT+5:30)",15.492,73.818,3853,23,2361,1469
Gujarat,"21-07-2020,08:00IST(GMT+5:30)",22.2587,71.1924,49535,2162,35678,11513
Haryana,"21-07-2020,08:00IST(GMT+5:30)",28.45,77.02,26885,355,20226,6277
Himachal Pradesh,"21-07-2020,08:00IST(GMT+5:30)",31.1,77.1666,1631,11,1067,553
Jammu and Kashmir,"21-07-2020,08:00IST(GMT+5:30)",34.3,74.4667,14650,254,8274,6122
Jharkhand,"21-07-2020,08:00IST(GMT+5:30)",23.8004,86.42,5756,53,2810,2893
Karnataka,"21-07-2020,08:00IST(GMT+5:30)",12.5704,76.92,67420,1403,23795,42222
Kerala,"21-07-2020,08:00IST(GMT+5:30)",8.9004,76.57,13274,43,5616,7615
Ladakh,"21-07-2020,08:00IST(GMT+5:30)",34.2095,77.615,1195,2,1007,186
Madhya Pradesh,"21-07-2020,08:00IST(GMT+5:30)",21.3004,76.13,23310,738,15684,6888
Maharashtra,"21-07-2020,08:00IST(GMT+5:30)",19.2502,73.1602,318695,12030,175029,121636
Manipur,"21-07-2020,08:00IST(GMT+5:30)",24.8,93.95,1925,0,1307,618
Meghalaya,"21-07-2020,08:00IST(GMT+5:30)",25.5705,91.88,466,4,66,396
Mizoram,"21-07-2020,08:00IST(GMT+5:30)",23.7104,92.72,297,0,168,129
New Delhi,"21-07-2020,08:00IST(GMT+5:30)",28.7041,77.1025,123747,3663,104918,15166
Nagaland,"21-07-2020,08:00IST(GMT+5:30)",25.667,94.1166,1021,0,484,537
Odisha,"21-07-2020,08:00IST(GMT+5:30)",19.8204,85.9,18110,97,12910,5103
Puducherry,"21-07-2020,08:00IST(GMT+5:30)",11.935,79.83,2092,29,1265,798
Punjab,"21-07-2020,08:00IST(GMT+5:30)",31.52,75.98,10510,262,7118,3130
Rajasthan,"21-07-2020,08:00IST(GMT+5:30)",26.45,74.64,30390,568,22195,7627
Sikkim,"21-07-2020,08:00IST(GMT+5:30)",27.3333,88.6166,305,0,92,213
Tamil Nadu,"21-07-2020,08:00IST(GMT+5:30)",12.9204,79.15,175678,2551,121776,11529
Telangana,"21-07-2020,08:00IST(GMT+5:30)",14.7504,78.57,46274,422,34323,11529
Tripura,"21-07-2020,08:00IST(GMT+5:30)",23.8354,91.28,3079,7,1845,1227
Uttar Pradesh,"21-07-2020,08:00IST(GMT+5:30)",27.6,78.05,51160,1192,30831,19137
Uttarakhand,"21-07-2020,08:00IST(GMT+5:30)",30.3204,78.05,4642,55,3212,1375
West Bengal,"21-07-2020,08:00IST(GMT+5:30)",22.5804,88.3299,44769,1256,26418,17204
