state,Latitude,Longitude,01-05-2020,02-05-2020,03-05-2020,04-05-2020,05-05-2020,06-05-2020,07-05-2020,08-05-2020,09-05-2020,10-05-2020,11-05-2020,12-05-2020,13-05-2020,14-05-2020,15-05-2020,16-05-2020,17-05-2020,18-05-2020,19-05-2020,20-05-2020,21-05-2020,22-05-2020,23-05-2020,24-05-2020,25-05-2020,26-05-2020,27-05-2020,28-05-2020,29-05-2020,30-05-2020,31-05-2020,01-06-2020,02-06-2020,03-06-2020,04-06-2020,05-06-2020,06-06-2020,07-06-2020,08-06-2020,09-06-2020,10-06-2020,11-06-2020,12-06-2020,13-06-2020,14-06-2020,15-06-2020,16-06-2020,17-06-2020,18-06-2020,19-06-2020,20-06-2020,21-06-2020,22-06-2020,23-06-2020,24-06-2020,25-06-2020,26-06-2020,27-06-2020,28-06-2020,29-06-2020,30-06-2020,01-07-2020,02-07-2020,03-07-2020,04-07-2020,05-07-2020,06-07-2020,07-07-2020,08-07-2020,09-07-2020,10-07-2020,11-07-2020,12-07-2020,13-07-2020,14-07-2020,15-07-2020,16-07-2020,17-07-2020,18-07-2020,19-07-2020,20-07-2020,21-07-2020
Andaman and Nicobar Islands,11.7401,92.6586,16,16,16,32,32,32,32,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,35,36,37,37,40,43,43,43,45,46,50,51,66,74,75,77,83,92,93,93,93,93,109,109,130,130,109,109,109,130,145,207
Andhra Pradesh,15.9129,79.74,321,403,441,488,524,589,729,780,842,887,925,975,1056,1142,1192,1252,1353,1456,1552,1621,1640,1709,1763,1809,1856,1896,2009,2057,2125,2226,2289,2349,2378,2421,2466,2539,2576,2620,2682,2745,2802,2899,3048,3105,3195,3314,3316,3509,3641,3789,3917,4111,4331,4495,4599,4779,5196,5480,5908,6232,6988,7313,7313,7313,7313,8008,8008,8920,9745,11101,12154,13194,14393,15412,16464,17467,18378,18378,21763,22890,24228,24228
Arunachal Pradesh,27.1004,93.6166,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,7,7,7,7,10,11,14,15,21,22,38,42,54,60,61,66,66,76,92,105,109,109,109,120,120,125,138,145,145,145,145,153,153,153,153,274,282,285
Assam,26.75,94.2167,29,32,32,32,32,32,32,34,34,34,34,34,39,39,39,41,41,41,41,41,48,54,54,55,55,62,62,87,104,125,163,185,185,277,324,413,442,498,547,615,665,1085,1249,1432,1537,1584,1960,2166,2166,2642,2654,3039,3039,3360,3521,3762,3958,4259,4500,5088,5333,5851,6106,6657,7882,8329,8729,8729,9147,9150,10426,10426,10426,10426,10894,10894,11416,12173,12173,15165,16023,17095
Bihar,25.7854,87.48,82,98,107,125,130,142,188,246,297,322,365,377,383,388,411,438,453,475,494,534,571,593,629,653,702,749,900,1083,1211,1211,1618,1710,1900,1946,2077,2210,2225,2425,2480,2499,2864,3071,3266,3587,3956,4170,4409,4644,4926,5056,5098,5529,5580,5781,6104,6113,6762,6843,7118,7390,7946,8020,8686,8997,9284,9554,9816,10109,10685,11498,12317,12317,12317,12849,13462,13462,13462,13462,15536,16308,17433,17433
Chandigarh,30.72,76.78,17,17,17,17,19,21,21,21,21,21,24,24,24,28,28,37,37,51,51,54,57,57,139,178,179,186,186,187,187,189,189,189,199,199,214,214,214,222,273,273,273,286,286,286,286,286,293,296,302,303,306,315,316,316,322,322,323,335,335,336,349,367,389,395,395,395,395,401,401,402,403,408,413,417,423,446,459,459,459,485,488,518
Chhattisgarh,21.2787,81.8661,36,36,36,36,36,36,36,38,38,43,49,53,54,55,56,56,56,59,59,59,59,59,62,64,67,72,79,83,83,100,102,115,122,130,188,213,244,266,283,308,386,402,447,550,631,763,890,1036,1180,1228,1331,1394,1447,1513,1553,1627,1914,1914,2091,2173,2303,2303,2303,2385,2549,2549,2549,2667,2751,2835,2903,3028,3070,3153,3202,3275,3324,3324,3324,3658,3775,3944
Dadra and Nagar Haveli and Daman and Diu,20.2666,73.0166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,5,9,12,13,14,26,26,27,29,30,41,55,60,77,86,89,96,114,183,184,189,211,226,226,226,245,245,245,245,268,310,357,357,414,414,448
Goa,15.492,73.818,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,16,16,19,19,28,37,38,41,41,42,42,57,57,57,65,65,65,67,67,67,67,69,70,74,85,85,96,109,118,129,129,152,205,289,370,420,478,478,670,734,734,825,825,1061,1156,1207,1273,1347,1428,1487,1540,1607,1674,1674,1674,1674,2038,2038,2218,2361
Gujarat,22.2587,71.1924,613,735,896,1042,1195,1381,1500,1709,1872,2091,2545,2780,3246,3562,3753,4035,4308,4499,4804,5043,5219,5488,5880,6169,6412,6636,7139,7549,8003,8611,9230,9919,10780,11894,12212,12667,13003,13316,13635,13956,14365,14735,15101,15493,15883,16325,16664,17082,17430,17819,18159,18694,19349,19909,20513,21088,22030,22409,22409,22409,22800,22800,24030,24593,24593,25406,25406,26315,26720,27289,27718,28147,28649,29162,29770,30503,31286,31286,31286,34035,34901,35678
